stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding
J22209811_1,谷口橋,島田市,34.820943,138.210504,,0,J22209811,0
J222093342,大津通り,島田市,34.8386553,138.1793218,,1,,0
J22209747,柳島,島田市,34.851056,138.14075,,1,,0
J2220952427,ばらの丘二丁目,島田市,34.857933,138.172815,,1,,0
J22209924_0,中の瀬,島田市,35.0298822,138.1601343,,0,J22209924,0
J22209800_0,沼伏,島田市,34.8035,138.203759,,0,J22209800,0
J22209798_1,下湯日,島田市,34.801723,138.196988,,0,J22209798,0
J22209009,横岡新田,島田市,34.855527,138.117928,,1,,0
J22209850_1,島田樟誠高校,島田市,34.8485061,138.1537094,,0,J22209850,0
J22209808_0,旧初,島田市,34.812628,138.216229,,0,J22209808,0
J22209871,大代茶農協前,島田市,34.8527333,138.0841583,,1,,0
J22209849,伊太団地南,島田市,34.8523668,138.1538247,,1,,0
J22209906_1,身成北,島田市,34.945772,138.089004,,0,J22209906,0
J22209933_1,北島東公園入口,島田市,34.838419,138.21894,,0,J22209933,0
J22209940_0,細島,島田市,34.8339154,138.2185009,,0,J22209940,0
J22209862_1,グループホームひぎり,島田市,34.8373007,138.1241247,,0,J22209862,0
J22209839,栃山橋,島田市,34.835934,138.197433,,1,,0
J22209772,杉沢上,島田市,34.8759205,138.1364882,,1,,0
J22209755_1,三ッ合町,島田市,34.8391546,138.1579367,,0,J22209755,0
J22209736_1,神座小学校,島田市,34.8748888,138.1089741,,0,J22209736,0
J22209776,宮沢,島田市,34.8663202,138.1323075,,1,,0
J22209931_0,細島橋,島田市,34.836205,138.2124415,,0,J22209931,0
J22209731_0,山の家,島田市,34.9013668,138.1123136,,0,J22209731,0
J22209843_1,田代環境プラザ,島田市,34.8692318,138.1527598,,0,J22209843,0
J22209791_1,市役所,島田市,34.835927,138.176401,,0,J22209791,0
J22209758,宮川町,島田市,34.8359833,138.1666018,,1,,0
J22209859_0,エコトープ前,島田市,34.8420512,138.1265168,,0,J22209859,0
J22209784_1,旗指西,島田市,34.8419463,138.1690626,,0,J22209784,0
J22209804_1,月坂一丁目,島田市,34.80454,138.212856,,0,J22209804,0
J22209801,沼伏東,島田市,34.8047101,138.205791,,1,,0
J22209006,金谷高校前,島田市,34.8275936,138.1271953,,1,,0
J22209846,上伊太下,島田市,34.8567343,138.1479348,,1,,0
J22209813,六合中学校,島田市,34.8337424,138.2038097,,1,,0
J222093326_1,田町,島田市,34.82085,138.1268358,,0,J222093326,0
J22209939_0,六合東小学校南,島田市,34.8332184,138.2224098,,0,J22209939,0
J22209870_1,五和製茶前,島田市,34.855853,138.083317,,0,J22209870,0
J22209901,家山駅前,島田市,34.9407954,138.0777883,,1,,0
J22209001,金谷中入口西,島田市,34.8311851,138.1232768,,1,,0
J222093395,谷口辻,島田市,34.8164601,138.2142347,,1,,0
J22209826,落合,島田市,34.853629,138.181943,,1,,0
J22209951_0,千歳橋,島田市,34.8386458,138.1894259,,0,J22209951,0
J22209916_0,竹島,島田市,35.0023594,138.1380777,,0,J22209916,0
J22209827_0,上野田公会堂,島田市,34.85191,138.182628,,0,J22209827,0
J22209813_0,六合中学校,島田市,34.8337498,138.2037308,,0,J22209813,0
J22209760_0,大井町,島田市,34.8342699,138.1719311,,0,J22209760,0
J22209946,旭町西,島田市,34.8298608,138.1866542,,1,,0
J22209782,中溝町西,島田市,34.8416324,138.1608553,,1,,0
J22209790,市民会館東,島田市,34.83562,138.17797,,1,,0
J22209944_1,南町公会堂,島田市,34.828842,138.180703,,0,J22209944,0
J22209846_0,上伊太下,島田市,34.8567828,138.1479616,,0,J22209846,0
J22209787_0,第二中学校入口,島田市,34.8422895,138.1753975,,0,J22209787,0
J22209731,山の家,島田市,34.9014372,138.1122733,,1,,0
J2220952428,落合春日神社,島田市,34.8571,138.175408,,1,,0
J22209005_0,金谷清水町,島田市,34.8236855,138.131468,,0,J22209005,0
J22209905_0,デイサービスセンター前,島田市,34.9380288,138.08604,,0,J22209905,0
J22209009_1,横岡新田,島田市,34.855516,138.117855,,0,J22209009,0
J222093395_0,谷口辻,島田市,34.816445,138.214144,,0,J222093395,0
J22209797,下湯日西,島田市,34.80262,138.191795,,1,,0
J22209791,市役所,島田市,34.835895,138.1763232,,1,,0
J22209775,広長橋,島田市,34.8684079,138.1321161,,1,,0
J22209937_1,さくら入口,島田市,34.8354909,138.2267564,,0,J22209937,0
J2220952635_0,渡島橋,島田市,34.9308555,138.0863966,,0,J2220952635,0
J22209001_0,金谷中入口西,島田市,34.8311851,138.1232768,,0,J22209001,0
J22209873_1,童子沢入口,島田市,34.8507202,138.0953768,,0,J22209873,0
J22209824_0,落合上,島田市,34.85777,138.180247,,0,J22209824,0
J22209748_0,笹ヶ久保公園,島田市,34.8494972,138.142924,,0,J22209748,0
J22209862,グループホームひぎり,島田市,34.837352,138.124131,,1,,0
J22209889,浅川橋南,島田市,34.802535,138.121078,,1,,0
J22209009_0,横岡新田,島田市,34.855527,138.117928,,0,J22209009,0
J22209951_1,千歳橋,島田市,34.8387276,138.1895137,,0,J22209951,0
J22209843_0,田代環境プラザ,島田市,34.8690824,138.1527228,,0,J22209843,0
J22209927_0,久野0,島田市,35.0355788,138.1670273,,0,J22209927,0
J22209966_0,向谷四丁目北,島田市,34.8424608,138.1523303,,0,J22209966,0
J22209966_1,向谷四丁目北,島田市,34.8423996,138.1522232,,0,J22209966,0
J22209939,六合東小学校南,島田市,34.83328,138.222383,,1,,0
J22209728,川口東,島田市,34.9053206,138.1138097,,1,,0
J22209920_0,西久保,島田市,35.0144639,138.1443941,,0,J22209920,0
J2220950455_1,元島田,島田市,34.8431304,138.1812662,,0,J2220950455,0
J22209799_1,沼伏西,島田市,34.801869,138.199556,,0,J22209799,0
J22209744_0,渡口,島田市,34.861231,138.1304323,,0,J22209744,0
J22209830_0,中央公園・ばらの丘,島田市,34.8512096,138.174866,,0,J22209830,0
J22209736_0,神座小学校,島田市,34.8750637,138.1088306,,0,J22209736,0
J22209741,甚六,島田市,34.8688958,138.1207283,,1,,0
J22209779_1,向谷一丁目,島田市,34.8431701,138.1493052,,0,J22209779,0
